lab name,address,zip code,city,state,type
"Tran, Ramos and Caldwell Laboratory","998 Tina Island
New Karl, UT 10073",21158,North Michaelland,New Jersey,Private Laboratory
"Duke, Warren and Burke Laboratory","9546 Peter Village
South Christianton, SC 26734",77431,New Jennifer,Ohio,Hospital Laboratory
Hughes Inc Laboratory,"1882 Daniel Ridge Apt. 526
East Darleneshire, MS 13714",96921,Liberg,Alaska,Collection Site
Leonard PLC Laboratory,"USNV Henry
FPO AP 08467",72323,North Jodi,Arkansas,Hospital Laboratory
Gonzalez Ltd Laboratory,"9711 Russo Flat
Maryshire, MI 24008",27377,East Kevin,South Dakota,Collection Site
Carlson LLC Laboratory,"234 Anthony Springs Apt. 619
Lake Larry, IA 83416",3483,East Dianetown,Arkansas,Hospital Laboratory
"Bell, Lopez and Fisher Laboratory","39415 Harmon Vista
East Grant, ME 51673",20166,North Joe,Nebraska,Hospital Laboratory
"Maddox, Berg and Gibbs Laboratory","3927 Mccormick Walk
South Patrickmouth, CT 99392",27491,North Todd,Mississippi,Hospital Laboratory
"Robertson, Martinez and Fowler Laboratory","Unit 7348 Box 6844
DPO AA 52175",89856,West Anna,North Dakota,Hospital Laboratory
"Banks, Nelson and Edwards Laboratory","69876 Mccoy Light
Alexisview, CA 86409",5196,West Loganmouth,Montana,Government Laboratory
Clark-Campbell Laboratory,"PSC 6286, Box 3671
APO AA 96073",50205,New Stephanieshire,South Dakota,Government Laboratory
"Smith, Ramirez and Roberts Laboratory","335 Mahoney Tunnel
Lake Michaelbury, MO 27434",37554,North George,Virginia,Government Laboratory
"Berry, Butler and Mills Laboratory","74947 Brian Club Suite 627
New Andrew, VT 73978",79310,South Lauren,New York,University Laboratory
Avila LLC Laboratory,"615 Patricia Lock Suite 725
Yangburgh, NM 54278",85593,North Karen,New York,Hospital Laboratory
"Miller, Rivera and Moore Laboratory","3764 Patterson Creek Apt. 329
Clarkburgh, VT 90352",43886,Lake Robert,West Virginia,Government Laboratory
Murphy-Bishop Laboratory,"677 Stephen Station
Williamsport, KY 00750",51336,South Steven,Wisconsin,Private Laboratory
Moody Group Laboratory,"374 Jefferson Inlet Suite 997
West Olivia, IA 54045",88319,Katiefort,Washington,Collection Site
Oconnor Ltd Laboratory,"55844 Susan Glens
Rachelberg, PA 24449",30038,Port Johnton,Arkansas,Hospital Laboratory
Hodge-Perez Laboratory,"7378 Corey Way Apt. 391
New Manuel, MD 75103",40813,Valeriefort,Alabama,Government Laboratory
Hammond-Coleman Laboratory,"88548 Brandy Meadows Apt. 707
Dianeton, ND 89415",5718,New Whitney,Wyoming,Private Laboratory
"Young, Weeks and Travis Laboratory","9248 Katherine Stravenue Apt. 170
Anthonybury, OH 77760",3465,Brianchester,Michigan,Private Laboratory
"Williams, Perez and Villarreal Laboratory","703 Sloan Camp
Port Katherinefort, OR 36800",37712,Brandyport,New Mexico,Hospital Laboratory
Rodriguez LLC Laboratory,"72777 Christina Meadows
New Tammychester, MO 48262",15226,Lake Amyport,Delaware,Government Laboratory
"Barnett, Allen and Schultz Laboratory","692 Christina Walk
Stephenbury, CT 07547",75983,Lake Catherine,Minnesota,University Laboratory
White PLC Laboratory,"11572 Byrd Ridges Suite 054
East Mary, MT 21621",16398,Foxbury,West Virginia,Collection Site
Rodriguez-Green Laboratory,"34612 Lopez Estate Suite 439
Lake Sandra, WY 97847",58734,East Kellystad,Kentucky,Collection Site
Phillips-Adams Laboratory,"286 King Mission
Blairborough, IL 76127",70791,North Phillipborough,New Jersey,Collection Site
Ramirez and Sons Laboratory,"723 Scott Wells Apt. 036
Michaelshire, ME 41225",67136,New Sheliamouth,Maine,Private Laboratory
Nichols and Sons Laboratory,"94277 Steven Pine
Adkinschester, NM 54246",3233,South Lee,New York,University Laboratory
"Baker, Wright and Browning Laboratory","075 Hudson Mill Suite 838
New Moniqueberg, KS 70449",60161,Lewisborough,Montana,Government Laboratory
Jenkins-Kelly Laboratory,"USS Novak
FPO AE 27735",51176,Lake Daniel,California,Hospital Laboratory
Day LLC Laboratory,"1399 Danielle Terrace Suite 198
Johnbury, UT 03760",15635,Port John,Massachusetts,Private Laboratory
Burgess PLC Laboratory,"35493 Holder Burg
North Justin, MS 86839",59182,South Melissachester,Oregon,Collection Site
Wilkinson PLC Laboratory,"1422 Susan Rapid
Christinetown, NY 97479",31091,Matthewchester,Delaware,Private Laboratory
"Guzman, Campbell and Stuart Laboratory","90419 Nathaniel Harbor
Sharonbury, MS 55770",18046,South Emilytown,Alabama,University Laboratory
"Hawkins, Spencer and Gutierrez Laboratory","089 Zachary Causeway
Port Alexander, SC 60213",94128,West Jeffreyview,Massachusetts,Collection Site
Bennett PLC Laboratory,"7130 Herring Terrace
Burnstown, OR 04335",61904,Kaylaberg,New Hampshire,Collection Site
"Rojas, Navarro and Barnes Laboratory","USCGC Johnson
FPO AP 42325",67522,Clarktown,Nevada,University Laboratory
Jacobs-Flores Laboratory,"584 Angela Groves Suite 765
West Tiffanyfurt, MT 16941",22576,South Colleenport,West Virginia,Hospital Laboratory
"Williams, Martinez and Bates Laboratory","870 Dawson Islands
New Taramouth, IL 44620",61966,Port Gloriaside,Iowa,University Laboratory
"Waters, Barnes and Schroeder Laboratory","USNV Foster
FPO AP 81463",85527,Davisport,Kansas,Collection Site
Bond Inc Laboratory,"02986 Carmen Square Suite 829
Lake Tonyaville, NC 73742",17834,Lawsonborough,Montana,Hospital Laboratory
Smith Ltd Laboratory,"Unit 9756 Box 3644
DPO AA 75013",92919,Bryanmouth,Iowa,Private Laboratory
Mcdonald Group Laboratory,"85389 Theresa Unions
New Jeremyview, FL 67703",52064,New Angela,Ohio,Private Laboratory
"Greene, Jordan and Haynes Laboratory","2772 Robles Common Apt. 286
Irwinville, CO 72554",49538,New Jeffrey,Massachusetts,University Laboratory
"Williams, Barker and Campos Laboratory","45694 Tran Freeway
Craigchester, CA 29460",86259,West William,California,Private Laboratory
Johnson and Sons Laboratory,"2544 Cox Street
Gordonhaven, DC 07519",82690,West Amandaberg,California,University Laboratory
"Hart, Gibbs and Patel Laboratory","2229 Berry Ways Suite 602
West Kayla, TN 28046",5525,North Daniel,Idaho,Hospital Laboratory
"Gutierrez, Young and White Laboratory","21804 Willie Tunnel
West Brittney, NE 50485",37268,New Laurenbury,Oklahoma,Collection Site
"Vasquez, Quinn and Bell Laboratory","221 Debra Summit
Jordanton, AZ 91364",86288,Schultzberg,Nebraska,University Laboratory
Ray and Sons Laboratory,"927 Johnson Path
Port Charles, TX 96993",4945,South Amanda,North Dakota,University Laboratory
"Yang, Hernandez and Miller Laboratory","3550 Gardner Valley
Lisaborough, KS 34057",99428,Leefurt,Montana,Collection Site
Pittman-Sanders Laboratory,"9636 Perez Track Apt. 037
Raymondfurt, WV 26503",19262,Robertborough,Kansas,Private Laboratory
"Hill, Mckay and Robinson Laboratory","914 Wallace Haven Apt. 255
Villanuevamouth, CT 06430",82124,South Todd,Florida,Government Laboratory
Cummings-Moore Laboratory,"2488 Harris Keys Apt. 391
Crawfordville, GA 04618",54081,Taylormouth,Delaware,University Laboratory
Williams Group Laboratory,"545 Munoz Wells
Dunlapside, FL 01649",59267,New Patriciafort,Connecticut,Collection Site
"Miller, Ramirez and Shields Laboratory","673 Thomas Path Apt. 252
West Terri, MS 18216",33522,New Gary,South Carolina,Collection Site
Liu-Lane Laboratory,"62859 Erica River
South Danielchester, MI 13396",23109,Deniseside,Texas,Collection Site
Stewart Inc Laboratory,"4643 Katrina Way Apt. 570
Port Bryanfort, WA 70164",82264,Robinsonport,Iowa,Collection Site
Ellis and Sons Laboratory,"PSC 5680, Box 8772
APO AA 74085",64580,New Seanburgh,Kansas,Government Laboratory
"Chase, Roberts and Wilson Laboratory","38548 Mccarthy Light Apt. 920
New Kimberlymouth, NC 19506",82472,New Elizabethbury,New York,Private Laboratory
Savage-Little Laboratory,"50356 Susan Street
South Marthabury, AZ 37046",1464,North Jacobburgh,New Mexico,University Laboratory
Wilson Inc Laboratory,"28079 Aaron Lake
West Courtney, AL 16774",51262,West Timothyfurt,Rhode Island,Collection Site
Holland PLC Laboratory,"881 Lopez Mountain
Port Gregory, AL 62658",8686,Smithshire,Vermont,Private Laboratory
"Li, Sanchez and Duncan Laboratory","25127 Douglas Village Suite 790
New Katherine, MD 15327",98524,Warnertown,North Dakota,Private Laboratory
White-Perry Laboratory,"912 Gonzalez Turnpike Apt. 209
Billyfurt, IN 67573",22104,South Charles,Idaho,University Laboratory
Hodges-Sloan Laboratory,"0948 Danny Junctions
New Gregory, GA 56008",47585,Oneillberg,Wyoming,Government Laboratory
"Khan, Jones and Grant Laboratory","891 Freeman Court
Mooretown, MI 52546",1994,Chaseborough,Montana,Government Laboratory
"Lee, Haney and Shepard Laboratory","03431 Megan Canyon Suite 495
Chelseafurt, OR 30783",13478,Stephaniemouth,Oregon,Hospital Laboratory
Harris Inc Laboratory,"195 Larry Forge
Guzmanview, CA 95857",12669,Garciaberg,Wyoming,Private Laboratory
"Hale, Carter and Torres Laboratory","78911 Melissa Prairie
East Daniel, KY 71435",65031,Nicoleborough,Idaho,Government Laboratory
Lane-Mcgee Laboratory,"153 Shannon Circle Apt. 838
North Danielle, ME 80440",78041,Haroldmouth,Montana,Hospital Laboratory
"Cohen, Mccann and Kline Laboratory","0848 Joshua Shores
North Allisontown, HI 03948",46362,South Ashley,Indiana,Hospital Laboratory
"Douglas, Romero and Gonzalez Laboratory","681 Michael Field
Ernestshire, NV 16871",14353,Port Daniellestad,New Jersey,Private Laboratory
"Johnson, Sexton and Rose Laboratory","PSC 7642, Box 2698
APO AE 52050",30044,Jacksonberg,Arizona,University Laboratory
Rice Group Laboratory,"PSC 7783, Box 5394
APO AA 46835",3716,Boydview,Oregon,Private Laboratory
Pratt-Castro Laboratory,"59087 Merritt Haven
Howardside, NV 74306",87622,West Michaelside,Iowa,University Laboratory
Lewis-Clay Laboratory,"PSC 1356, Box 8207
APO AE 49017",79371,Annaberg,New Jersey,Private Laboratory
Cochran-Gray Laboratory,"494 Ross Plain Apt. 753
West Davidberg, IA 23413",30606,Warrenville,Ohio,Hospital Laboratory
"Joseph, Bryant and Sanders Laboratory","3838 Maldonado Radial
Tanyaview, RI 71447",36467,Tinaborough,California,Hospital Laboratory
Clark-Bradford Laboratory,"9845 Foster Park Apt. 717
Lake Joannamouth, SD 94278",82341,Shawnmouth,Kansas,University Laboratory
"Ware, Ford and King Laboratory","29388 Christian Mountain
East Robin, WA 23424",12738,Stephanieton,Colorado,Private Laboratory
Davies Group Laboratory,"878 Michelle Row Suite 720
Rickyborough, TN 90921",5345,Douglasberg,Indiana,Private Laboratory
Lozano-Jackson Laboratory,"92643 Reid Extensions Apt. 624
East Melissa, SC 60960",50058,Jenniferchester,North Dakota,University Laboratory
Mays PLC Laboratory,"610 Susan Lodge
Port Annetteshire, NV 74541",23773,Butlertown,Virginia,University Laboratory
