Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Xur-V (Doses Administered),VaxZine-U (Doses Administered),X21 (Doses Administered),ADCC,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Individuals Vaccinated
20/11/2023,Georgia,76881,466,49,29498,37725,28424,7306,32777,38864,23062,16,40663,49863,30904,4806,18758,38480,10592,3681,26562
8/9/2023,Utah,12477,772,40,22474,1590,17576,35989,6542,25977,43392,62,22712,48807,4324,5811,30451,4105,35447,20273,40286
30/12/2022,Kentucky,45550,377,16,34087,15815,11575,19404,44679,29646,19890,67,4524,32863,8104,47783,46873,10210,31084,41060,14666
4/9/2023,New Hampshire,86552,467,99,46206,22720,12634,26159,10875,4963,11720,13,27697,27210,14855,6445,44252,42502,30803,38255,13190
16/01/2023,Louisiana,27152,917,53,5342,41640,3025,20876,20635,11092,14108,93,10991,48777,19651,18321,36067,7617,19183,46276,48118
10/12/2023,Michigan,73862,186,82,17383,41806,19367,15783,23072,26524,25912,94,40906,13790,36082,45714,16569,12157,42703,37403,10947
10/5/2023,Virginia,8557,614,75,12438,42774,39607,32083,15794,13116,14571,3,13359,6229,41351,43819,4103,36668,31146,48374,15699
14/12/2022,Iowa,78285,794,71,36278,32452,7939,17454,32481,26915,30199,77,8701,45639,26568,8043,20895,9834,37839,40731,28530
26/10/2023,Maryland,45069,250,42,40946,16115,30853,15918,29152,49757,44730,1,18760,40783,39812,11445,42684,4144,3888,29147,36835
7/9/2023,Arkansas,98851,972,11,4525,26910,47895,14310,20967,22868,9138,83,20301,44548,21314,47824,36147,33050,2838,35054,23281
10/12/2023,Nebraska,82521,210,80,10939,25683,47277,13624,37367,33767,15724,75,11318,1555,44908,43829,31215,2406,12475,47626,41522
14/01/2023,Connecticut,13383,427,80,30270,7823,35815,15940,21088,2075,20981,75,26524,31896,33170,9974,29482,39780,26140,5113,17566
20/06/2023,New Hampshire,48456,645,20,31717,28986,44969,17840,13143,36055,18215,57,29988,20335,9200,17164,31639,31811,23539,24740,16408
3/3/2023,Maine,36312,698,43,9701,24921,14250,19554,45137,35950,6500,40,39828,4010,24072,19373,19094,45294,15230,29947,1632
11/9/2023,South Dakota,48312,408,46,39747,45205,41651,48738,25209,13666,4793,17,20340,49301,44433,2046,31343,8019,11231,767,19937
2/11/2023,Wyoming,72968,690,93,40057,18731,49966,18264,16256,16856,10422,89,3617,46663,27040,32793,7021,43820,46587,7018,10160
17/02/2023,Massachusetts,33830,331,68,37866,4414,26293,680,43804,6700,49415,47,41996,12762,4224,12850,8808,36017,7968,10287,42450
26/10/2023,Utah,28018,696,47,3829,28494,45130,29320,18860,48318,28291,90,33137,27103,30219,12238,44815,14777,296,20899,16336
23/12/2022,Connecticut,60788,233,87,15119,37042,41332,42014,13377,4270,44598,60,13525,10529,38681,13510,47739,19019,13252,34018,26212
21/02/2023,Utah,31301,800,46,48212,32749,3920,23443,44720,40901,2731,47,46800,43676,39746,16268,17610,29803,25416,5342,49420
2/10/2023,Maryland,82728,202,28,41991,16961,46269,48487,12990,34059,18408,50,6933,2458,43485,48127,46319,43356,4505,18535,45419
18/04/2023,Utah,96645,726,46,1137,13938,32397,28246,16509,18881,30790,2,4925,33950,24496,35830,7131,23213,49150,313,19536
7/8/2023,Maine,68559,178,74,16858,26688,11948,42894,9764,21530,46528,74,8754,8631,49807,1653,25348,32342,9707,40675,9693
23/01/2023,Michigan,74878,770,26,49102,29499,47407,17151,36734,8702,11361,72,43541,35694,2251,48747,41577,21584,28428,3142,18941
23/10/2023,Delaware,19821,521,18,5609,9740,14339,28981,16606,44148,13256,19,35609,45662,25511,11030,17026,4503,16804,22818,20276
31/12/2022,West Virginia,36620,458,59,38040,2997,21978,29621,37618,44396,462,4,19171,3142,37542,40972,22530,15243,18872,5766,37968
3/9/2023,South Dakota,30267,998,38,24818,29928,4464,2446,22293,29971,40144,61,4908,11765,33669,38751,8889,46479,733,48841,29401
4/1/2023,Virginia,50279,169,69,34934,2500,33452,24463,7058,8099,3022,90,39985,9990,15658,40645,5262,7021,42631,7775,23246
11/3/2023,Pennsylvania,16708,70,20,5045,20602,35586,23346,43819,29108,44606,23,32260,38110,13215,7796,23226,7039,12318,2393,15821
4/9/2023,Illinois,45785,392,58,43024,4601,8269,4091,25078,1612,37251,56,6676,6589,6707,38098,16294,18100,25251,47840,49446
28/12/2022,Oklahoma,92219,294,5,186,20396,2262,5936,45184,27999,5015,28,27128,44990,32092,41965,49710,20268,20740,10327,18723
12/7/2023,Texas,35790,134,63,29311,19661,11020,21059,2174,49602,37681,26,48160,24471,4724,9476,21195,48320,2066,15777,44874
11/9/2023,Massachusetts,26735,514,17,29896,11896,45577,37954,40622,15860,18199,5,9492,20839,33863,28914,4065,31410,31453,44448,9527
28/10/2023,Minnesota,86172,707,82,47292,39545,45699,10886,32300,8216,33551,20,41619,37652,26516,40020,30884,10975,48673,35282,29584
13/11/2023,Wisconsin,1592,93,1,27340,17887,8716,11422,8782,36393,22465,60,16330,18078,4648,11617,21553,43742,7524,10541,6102
1/6/2023,Michigan,89477,106,49,7077,35742,8098,24349,43938,31894,13820,30,21634,9688,47965,20846,12776,33927,43575,13603,48418
16/12/2022,Vermont,83944,116,32,42395,45639,9532,9072,43096,37740,12500,93,15721,30511,46877,5460,14007,21041,22676,19356,35015
20/06/2023,New Hampshire,21183,309,42,11580,3428,21120,38131,25075,26182,46295,89,35227,36410,29278,31384,7649,31255,18246,7798,40080
28/02/2023,Colorado,97975,513,32,27277,19003,9116,28244,12606,43509,36374,0,22380,19320,20717,20188,19366,27243,27326,6178,3287
25/09/2023,Wyoming,66354,590,69,47390,27414,16887,5492,15427,11002,37867,55,42301,33924,42552,5964,35444,2305,16610,40218,36951
25/12/2022,Arizona,66276,508,29,6332,29129,31130,45632,13251,6483,41972,93,28784,20969,40127,46942,18110,40015,22210,30610,36275
15/09/2023,Virginia,38437,731,19,118,10980,18966,3624,267,4813,5521,27,29481,44927,41621,48193,28318,48895,19289,30012,35304
12/1/2023,Minnesota,12408,103,96,38590,38683,115,14807,2088,20737,40431,44,47979,37585,42650,28067,48837,10907,45647,11553,21508
23/03/2023,Virginia,11096,496,17,49983,35090,21922,29604,42601,10019,28237,22,42227,22148,3519,11112,38858,14633,27873,40068,9473
2/6/2023,Oregon,43441,548,71,17324,30742,44010,35673,8483,6363,25520,32,47135,25240,9795,796,44048,998,13174,43362,38321
10/12/2023,Georgia,33884,739,85,8768,44370,41305,27741,12354,32835,23985,87,29523,17024,34118,11905,37981,13003,3058,21269,10637
15/11/2023,Iowa,59085,988,35,27253,42801,35083,49852,34253,30139,17821,47,9656,3876,17559,36315,28074,3501,40682,16158,41459
26/02/2023,Nebraska,41703,445,41,43815,38630,43245,17948,41697,23050,45180,18,37273,43157,36385,14422,31795,12682,4764,40079,21642
2/10/2023,Iowa,63782,862,79,23472,11312,30421,49380,30894,43796,8332,66,22372,38057,35524,26054,24781,4392,23353,3357,35605
25/07/2023,Georgia,89624,313,90,3306,13595,25590,11899,16194,14055,49048,50,2624,33807,22860,13859,23238,46558,30379,36700,21523
2/7/2023,North Carolina,22649,835,56,31664,11906,8790,20618,23980,1215,28184,5,14112,34181,41834,28547,45416,23957,7377,19920,29495
30/01/2023,Vermont,60253,51,24,6638,16688,40839,33564,8697,15497,21182,76,2608,15898,40522,1676,42981,8435,18387,25733,26523
27/06/2023,Texas,37361,465,87,31655,7257,8609,16127,16161,38619,31653,21,7376,47287,17062,14510,36672,8745,37011,39264,11897
6/7/2023,Georgia,46548,236,87,8466,24257,6299,34587,45104,30892,5707,48,4741,36726,5181,35591,23277,35269,2433,16383,35094
22/03/2023,South Carolina,55462,422,64,48606,44191,24038,43639,25654,39008,11621,56,13786,42664,47834,38966,42218,2604,21608,46241,18964
21/02/2023,Michigan,27703,682,48,22797,3958,12742,19158,13507,1264,30730,42,21990,1469,4147,5173,49264,48157,46316,22931,34548
19/08/2023,South Carolina,57526,507,33,15387,3605,9704,8917,27476,15885,6342,70,25417,7315,14440,3068,15721,16063,38822,37913,20690
11/9/2023,New Mexico,25993,496,46,43187,5984,3993,22937,5427,15599,20908,72,11869,2644,33964,20753,35441,29922,40453,38144,42160
15/08/2023,Kentucky,60268,662,86,47768,9415,9475,15489,164,3244,32642,85,21137,4841,47438,3821,17918,40534,43570,36680,23774
11/5/2023,Minnesota,28536,610,11,35683,41518,3976,3838,43560,28806,26011,35,22186,4024,3894,6270,30918,42351,24298,7943,48642
18/04/2023,Georgia,36044,120,89,43543,15929,20046,28527,40817,13593,42553,91,10474,1136,14647,21176,18909,10048,32418,15530,37762
28/01/2023,Virginia,68399,504,75,6514,25418,10811,30244,7704,20215,25302,27,13278,31323,22861,25625,40606,48248,39481,23576,12886
28/07/2023,South Dakota,57638,209,44,36152,7945,19007,19392,1463,41609,19581,72,39257,45061,16618,49460,40014,9566,38558,40194,20102
17/08/2023,Texas,66371,467,64,34962,7856,658,30941,23483,10016,32753,95,45691,48230,27356,34896,30850,26481,35675,36002,41485
3/7/2023,North Dakota,74735,966,58,7845,13622,34067,47101,46069,26703,5196,0,45417,45938,43468,46185,22800,21339,2200,10569,8389
5/11/2023,Michigan,40421,305,73,45841,35355,33182,4319,3974,5369,21631,29,31069,771,11815,12676,10689,2492,7224,44192,23282
30/12/2022,Nebraska,42750,311,28,13740,13728,6286,25837,14638,29290,18181,33,3323,45205,46364,10096,14979,1173,25465,48018,13950
18/06/2023,Connecticut,35658,171,49,17913,14734,33015,5835,8806,11062,39567,49,18565,41608,5111,23418,43398,36543,2320,8567,6667
8/2/2023,West Virginia,93318,104,57,18062,15329,10639,21121,23105,37785,22934,83,12999,27707,22221,49958,48837,8829,8435,5868,17041
27/05/2023,Wyoming,60126,70,40,15995,1543,2372,1333,20420,45259,1585,7,32887,41650,19693,5400,739,40612,537,37497,42092
12/8/2023,Massachusetts,59523,940,29,38200,18558,39646,28928,41755,5412,17074,69,44417,4464,43689,30438,32773,32290,30631,23111,13711
4/9/2023,Tennessee,16919,460,15,27448,22693,35554,5931,34128,38080,17746,96,43181,44027,39510,36890,48252,43837,27540,5695,24446
24/12/2022,Alabama,54743,167,31,40680,42383,22896,2167,47569,11001,38223,43,43294,6723,37780,36208,40023,31848,29046,14761,44119
1/3/2023,New York,34394,898,32,39485,48483,139,29156,25456,41197,47282,79,4040,18053,47384,998,11585,19924,36279,34073,41224
27/12/2022,New Mexico,15859,177,65,27847,25170,18513,28378,3128,12909,8344,30,26347,42557,48471,48308,44106,31076,1983,36031,9202
1/5/2023,Georgia,56255,841,65,31587,17997,32111,41488,26062,23287,39810,77,31238,4466,46694,35935,23826,46584,13392,459,39319
31/10/2023,Texas,78799,672,12,7624,8290,5365,45602,47288,23267,3220,7,47085,33088,37451,32475,47639,42567,45319,14173,14344
26/02/2023,Hawaii,26374,749,38,36230,7823,16969,3965,35046,42942,20197,84,16057,38196,37145,35679,34686,27439,40743,4261,44037
1/1/2023,Alaska,68674,63,1,33830,9452,18661,34792,30225,21834,2364,37,26168,40046,35471,472,47097,7495,17368,44509,8932
18/01/2023,Kansas,32010,714,35,28297,49567,34209,48708,4847,6566,43478,42,35730,18703,20848,4190,30464,23623,33145,10123,34231
31/03/2023,Georgia,93726,36,19,25259,29875,14757,600,28842,8906,27869,78,45511,48024,32933,37736,47306,38105,33902,2199,13634
23/01/2023,Virginia,92985,78,33,31494,48894,10193,24003,32288,26870,25735,94,41746,38718,19864,18448,18347,20685,19284,9764,12763
8/4/2023,North Carolina,24203,511,39,24479,7055,11428,32263,44151,23815,1688,70,48355,37679,20945,20283,26055,44742,6093,29521,30412
14/10/2023,Missouri,40789,53,32,31550,36026,4381,1271,46088,4669,4803,11,45395,13000,49865,1900,16806,11121,21129,49079,30722
23/06/2023,Texas,13912,441,12,38598,5414,25650,20128,2041,13162,15597,40,11982,22586,12336,25085,17801,16729,46958,31919,10680
19/02/2023,Maine,38285,147,88,17299,12451,20651,43188,40016,6442,20977,77,31814,33353,30723,27230,172,11759,25237,36270,45958
30/09/2023,New York,30764,592,83,311,14730,35326,7202,46771,1407,25248,62,38111,9519,18105,44312,39291,12809,41055,47122,42418
18/05/2023,Missouri,75165,935,28,4614,28026,44918,7641,35934,18150,19120,87,19718,12319,8114,4252,30706,33709,47983,40091,46508
16/03/2023,Colorado,28661,15,34,28913,35757,26298,3150,35200,36890,38657,98,27704,41599,8741,10883,39027,28255,3303,45838,13982
10/12/2022,New Hampshire,56397,523,10,30342,3555,37363,18051,43590,42497,14277,19,27407,36781,5007,26413,23916,15410,46055,41071,35739
5/1/2023,Wyoming,30459,902,6,48486,48553,4707,38606,23476,41617,11435,50,42501,178,36919,47782,22991,46739,38125,28968,25034
17/02/2023,Pennsylvania,45296,608,69,27070,18674,13670,22207,15444,38257,27465,94,3807,2305,46921,47292,35981,32733,36537,24728,38763
26/04/2023,Connecticut,8008,36,4,17587,11010,49335,31789,38827,21964,11042,24,8228,19145,13078,37348,38223,5199,9947,22960,16118
19/06/2023,Montana,19129,871,76,25803,41490,38769,24305,12120,43098,42680,25,24758,42808,40523,24700,30096,11383,10061,48900,38665
7/12/2023,Wyoming,30893,655,13,6976,23653,45567,46333,29797,36094,34538,46,17692,28401,6545,41887,13207,16542,9576,36024,23009
22/01/2023,Montana,28004,410,74,5373,37091,47536,37193,41323,17887,20605,46,49666,44617,22210,41574,43949,43423,49840,8004,26014
3/10/2023,Nebraska,74828,932,12,28035,5965,40363,48907,44899,11644,17621,17,26249,7793,35937,19728,27669,1428,36282,25081,41215
7/3/2023,Utah,67945,310,14,28751,29851,17002,25145,21174,811,5676,81,47648,17825,27999,28491,1816,16220,41542,4227,45453
29/10/2023,Hawaii,88197,292,38,29182,17088,818,32415,20882,18014,32633,2,13558,35436,42958,8923,45805,46983,11307,9095,4584
10/11/2023,Washington,71533,88,21,5150,12566,33254,40706,22430,7966,32505,43,5419,18732,28800,4562,1230,23248,33415,5576,30679
22/11/2023,Maryland,25528,866,52,36687,26390,14843,9815,45446,24441,31416,60,8724,11282,39622,45490,3682,22227,14075,10031,9922
11/3/2023,Georgia,54478,658,74,40433,30972,2758,33423,30433,5325,9162,92,41180,26348,38105,34776,16022,4542,12701,10984,13421
23/08/2023,Mississippi,46560,797,38,11788,15467,24668,20680,5206,2968,44724,98,1054,47014,17631,25284,2599,21230,13317,3023,25786
31/01/2023,Oregon,72592,999,26,35370,45605,23795,29495,35571,2012,18553,81,27867,49833,18463,21598,28195,46160,6730,34033,18661
17/11/2023,South Dakota,69246,897,46,19121,37597,26957,7,31708,3782,23562,73,29547,11376,10645,12782,32510,37343,14924,6634,12324
17/03/2023,North Dakota,86022,325,4,6414,28121,31732,37506,39128,8404,44124,70,34095,42742,30706,2809,7167,20986,16806,17078,4641
30/01/2023,North Dakota,15591,85,20,29059,12741,5293,32493,23316,39913,48148,34,41858,5751,44839,16544,29915,39,12218,35587,4703
8/2/2023,Idaho,24059,184,15,15418,25255,8296,14238,12957,31716,22626,95,22995,3320,46236,5024,12450,20608,8290,27031,27920
6/2/2023,Missouri,43756,799,52,43313,17980,18005,4659,5378,15626,27526,18,33772,44251,28087,36091,5606,11355,3136,12041,30362
13/11/2023,Wisconsin,73554,460,90,43577,42942,32697,4724,5625,14567,18949,56,14147,33447,30854,9980,30603,29795,46037,19213,20993
14/06/2023,Missouri,85554,199,3,34554,15467,48852,2894,25921,32387,47456,66,22921,25667,28633,3269,20550,21616,4035,6139,36813
17/06/2023,North Carolina,33891,67,75,48080,24751,10431,28961,27379,10180,11977,88,38660,14905,44962,30984,19835,9533,29445,4461,12267
6/3/2023,Alabama,32958,420,55,9283,2768,40279,16496,18244,38230,1321,25,39021,12494,30511,33769,18403,11,13266,5316,46142
9/9/2023,Arkansas,40228,63,8,41997,37027,20484,28426,45303,13851,3288,99,10602,29408,27880,11048,31225,25512,41755,6421,13142
6/4/2023,North Dakota,61133,378,69,26578,9321,8472,20763,14199,19943,30576,18,20719,29275,17563,41018,41607,44294,45399,37035,27145
4/7/2023,New Hampshire,96482,462,7,32487,36956,38668,22752,19324,46054,6817,78,2066,1908,15723,42000,34266,43076,14703,34679,45364
21/11/2023,New Mexico,19013,131,69,17936,47239,43996,31007,44205,26450,37668,79,20482,17566,421,22670,24476,44006,10999,37117,43154
7/5/2023,South Dakota,30353,928,41,18913,14722,3017,44771,49460,27276,38702,85,25910,35204,20110,22497,41011,38512,36238,36125,874
1/9/2023,New York,72208,348,97,17973,18520,8293,22158,31108,28888,24939,69,5523,708,18388,36458,17218,35203,22731,44681,8563
8/6/2023,Utah,60580,688,25,27691,12895,33170,35060,36437,1662,8180,34,17619,33919,34404,19797,10051,27650,32546,28948,2771
13/07/2023,North Dakota,10425,459,16,30849,11401,24610,13834,10874,21580,23627,27,32604,40581,24363,9025,8926,15638,48286,29299,36310
1/11/2023,Arkansas,30363,654,51,18824,25003,34319,18264,25009,7241,47468,70,12978,44473,33665,5881,25485,19523,1452,28465,31534
24/08/2023,Hawaii,35088,135,23,20377,13434,48986,42461,33585,11825,9585,96,1431,45884,25478,10348,5653,7449,2789,34342,15796
6/8/2023,California,10694,241,80,44478,7985,30731,20487,32439,17691,35264,16,25169,36551,19067,36388,13501,3918,44689,44786,8414
28/01/2023,Washington,41542,413,87,38375,33448,7836,39345,18383,3308,45346,73,44959,11329,547,102,19567,30075,13170,49103,49293
23/06/2023,California,45709,869,75,40163,21944,44077,19551,47231,46179,49340,96,15078,2928,12448,21847,33376,5939,5741,10661,4026
20/07/2023,Louisiana,54630,401,51,17029,21077,31123,29011,21384,15464,38585,23,49681,24853,36507,39766,30504,6396,2318,46047,48579
11/7/2023,Utah,98552,378,37,39574,49730,33652,44296,15940,40008,18880,62,34346,17447,14827,9722,32170,21946,46127,14440,33230
16/10/2023,Kansas,8011,383,19,48379,29277,28147,37478,12961,5810,10324,93,41254,23899,26951,9674,23885,22289,8962,10943,26342
27/02/2023,Louisiana,57487,487,54,1843,3604,3576,3367,46116,14769,25131,29,6917,40998,22451,2732,19652,2339,4654,3744,42080
17/09/2023,California,41605,876,1,6908,38067,23000,33766,28274,39879,39615,54,46618,15778,24799,31994,9066,7816,45560,12350,41173
12/7/2023,Oklahoma,58852,866,70,13701,30062,32773,47216,48194,11459,7365,44,9621,9533,26480,28521,14314,9392,47807,6592,39877
17/11/2023,Utah,20521,835,69,9074,26430,26705,29050,37614,11386,5873,6,18379,31715,25464,45201,25925,47250,41892,12240,18092
16/08/2023,Kansas,17151,470,41,9934,29154,58,12911,29231,47050,29649,71,31470,17527,16702,44185,39801,44385,20456,34154,9213
26/08/2023,New York,35176,335,45,27492,10574,18222,10241,25791,20950,27207,28,49614,12958,31103,17503,37106,29247,20953,42506,10394
21/02/2023,Connecticut,22871,566,13,18259,13100,46205,24985,23411,16227,38131,42,25690,5184,21462,12488,4849,14589,19134,42184,43013
25/07/2023,Tennessee,93607,23,6,34891,6916,48539,32853,14213,40914,39114,42,27309,18728,34097,43814,43958,18430,9769,49641,41083
4/2/2023,Mississippi,28034,506,10,24622,28828,18000,40108,25696,39413,24135,96,44546,22093,10901,7973,21995,43081,36503,37098,47527
8/11/2023,Washington,54977,432,29,24711,23267,17109,35593,43587,32461,24043,69,47523,49648,23009,10973,21277,47771,44685,16443,38279
13/07/2023,Illinois,80193,217,2,1669,6050,9310,20594,23344,47490,27715,51,23309,14732,31215,37734,13935,45197,22662,40696,45289
21/10/2023,Minnesota,48320,10,95,44946,44279,34679,25696,6086,9030,40716,97,44670,44671,7991,20875,48123,27739,10136,11399,14083
13/10/2023,Idaho,51679,123,24,17681,4531,36668,23278,46617,47592,25258,73,11784,20093,47980,8665,33173,24495,10645,13255,13938
14/07/2023,Oklahoma,60855,445,81,13113,43844,22380,1667,44846,27527,24078,19,40443,21106,10332,14569,31411,15965,36310,49325,41545
15/04/2023,Oklahoma,92237,718,16,45347,40225,17281,26122,9204,10895,31075,7,35867,18756,32499,9355,20879,48283,15895,44192,33552
10/8/2023,New York,84241,55,39,12725,14031,36072,37962,46638,15339,31893,6,36244,39033,35823,23614,36999,43678,38730,9755,1814
3/6/2023,Ohio,60281,672,67,9212,26833,11184,23141,23429,17947,16520,46,6281,14582,16678,517,43686,24016,43059,10737,9738
27/03/2023,Colorado,37720,808,96,25439,25378,2239,35246,37927,12021,18416,31,48189,31182,10668,43590,29597,37804,15946,30435,14679
17/08/2023,Tennessee,84054,519,92,7186,10018,28616,27948,5365,38889,13977,35,10528,15815,27461,37567,22604,13567,22140,27542,36012
3/12/2023,Ohio,53677,554,99,37984,25302,46428,6704,27677,27526,14220,19,11221,49679,15640,9290,43997,21808,25036,15175,2329
21/03/2023,Florida,3963,641,55,10689,19916,21006,2683,42040,29160,48809,40,11270,10368,13319,21010,4597,20716,4014,28115,14652
10/9/2023,Tennessee,89815,617,63,44772,15706,17134,10319,10449,26307,34790,67,36016,35192,9562,4506,40449,10684,832,40851,33280
5/1/2023,Florida,47870,55,97,20095,29856,15717,24726,1482,12796,21798,13,13893,9409,15416,36070,29912,1738,14528,2982,43766
28/01/2023,Louisiana,61781,110,19,10804,16258,19792,17897,25469,9317,40574,60,45436,48665,30836,18273,45885,44620,8140,16525,29413
5/8/2023,Idaho,41843,909,77,41147,43936,11913,19592,11409,48221,23673,96,13123,20874,15626,17758,287,45496,28192,24139,9916
28/07/2023,Florida,16265,710,28,36497,18953,41142,35812,30338,23840,3759,47,11866,43257,19885,25379,6538,36288,29240,6988,44610
8/11/2023,Michigan,25455,941,48,33747,47303,13781,29034,37914,47895,27019,60,373,12844,47841,34855,22571,13115,29628,35135,38916
21/08/2023,Kansas,27743,29,86,4778,31127,39943,38593,29100,41488,4614,46,32330,3862,35445,10865,24816,48500,26614,40848,38947
28/05/2023,Oregon,70914,620,90,15239,44487,41736,49812,3945,9049,17355,23,10806,46336,20469,40331,12575,8905,8191,24357,2913
29/09/2023,Indiana,26136,667,43,45918,38027,18358,36888,15556,13992,25487,74,42694,22196,22040,20865,33365,47006,1693,30345,20248
7/7/2023,Maryland,77999,246,92,38212,30422,537,26228,41304,14718,337,57,775,8138,17164,45013,20754,8325,29720,34284,18457
19/07/2023,Connecticut,46295,269,50,18498,27811,26441,43993,9987,28450,20626,91,35632,20079,15731,16979,28946,33910,31328,2512,32306
10/7/2023,South Dakota,85662,710,41,44859,38040,39227,22465,5764,13133,6900,45,46614,17573,37526,18314,9067,7238,7356,42354,18574
4/9/2023,California,70988,466,60,20417,12245,37603,2240,17838,17703,34309,73,48796,12944,29556,47702,49177,20039,13554,49498,40440
22/05/2023,Washington,92986,75,7,12326,44078,16664,18568,24267,11095,15759,27,1585,31920,26846,34919,26608,42345,43938,27396,7485
13/06/2023,Maryland,73279,665,42,36992,27307,21486,26148,41686,35322,35659,44,12849,809,13597,8467,43734,29775,46441,45548,15043
23/12/2022,Iowa,72166,883,7,28172,24599,12349,10774,23176,8756,15299,57,46307,44049,4080,22868,27990,30991,904,17957,37820
9/9/2023,Alaska,52714,274,4,34171,17752,5441,14838,26348,22927,17313,22,36463,43421,8940,44292,22196,10035,10013,48841,15992
20/04/2023,Hawaii,45296,386,84,33710,26758,9094,26706,11405,1915,45776,44,23394,43127,25571,6285,28463,8501,35708,37379,28956
22/12/2022,Indiana,27885,318,87,42273,46996,29412,12852,48777,25154,6799,52,16726,47838,22020,15333,26447,39193,47214,25246,3189
29/04/2023,North Dakota,73614,928,2,15082,35300,41434,41590,17233,38946,15916,21,42828,47413,23337,297,12431,19701,48200,14783,37634
2/10/2023,California,9804,20,53,45325,41376,7142,2954,16392,45576,25368,84,15348,8709,47428,30117,7060,30232,3314,46572,48564
17/03/2023,Nevada,87465,54,87,7943,23850,1660,32266,14960,42198,674,9,15945,46713,26179,33739,42795,1663,39432,26686,20158
25/04/2023,Minnesota,99875,150,99,11905,20371,33584,1972,12617,11182,13758,14,20027,22093,2146,31162,39952,12118,36088,6021,11227
27/08/2023,New York,21132,13,62,28066,23104,32971,15675,22944,21473,16068,98,7921,31783,21671,13223,671,49938,35017,45723,10169
3/10/2023,Pennsylvania,51053,288,55,23111,4542,22982,15148,44891,38767,43184,88,32673,17772,14379,22892,1507,9241,25504,10412,49221
13/07/2023,Florida,45707,662,62,43670,48900,29539,24368,20901,34547,47283,16,32631,12644,32028,24639,3523,11283,37551,2277,35935
29/06/2023,Rhode Island,23616,675,35,7330,32853,8725,18771,4903,36168,41562,84,47306,1631,28189,9521,45163,8935,42025,45979,35257
28/02/2023,Oklahoma,82841,703,83,44071,44720,45421,9978,41618,45237,39083,91,37176,4275,32879,42903,13671,42267,35878,39272,32119
24/06/2023,Wisconsin,39607,100,68,39644,19143,14924,1450,7044,15737,27320,4,3226,33289,40324,31358,44699,42443,34558,43930,43549
25/01/2023,Kentucky,98620,562,3,8841,1201,34801,10471,3765,31645,21767,87,26606,10757,47343,40466,21605,16040,25986,30813,27157
2/1/2023,North Carolina,23898,179,34,43287,44016,25298,37245,1039,22792,5829,8,45334,13634,28132,24937,36102,31312,16782,16228,3277
11/8/2023,Arizona,10481,650,1,41575,29808,8108,40494,28276,3557,37786,19,230,22052,26622,43681,33833,39944,12922,3109,42554
14/05/2023,Virginia,41068,705,82,2683,5644,47934,30190,14394,11477,21947,40,30920,25808,37696,26470,13137,17773,17072,3994,41166
7/9/2023,Georgia,65433,69,24,18982,40593,36055,20940,48260,44516,4505,84,9157,40924,18877,46900,26059,1337,40474,24804,30794
19/12/2022,Mississippi,86016,752,66,24905,40861,31400,37083,30279,40406,9382,23,4588,26007,35640,18277,10507,30459,38672,30133,33187
26/04/2023,Mississippi,76358,190,66,34503,32947,36549,5987,24627,197,35150,64,23132,33199,49226,43084,20269,984,9620,47581,23940
15/11/2023,Washington,54123,165,2,36631,3459,3799,3088,44257,31277,33019,35,21567,48782,47181,33826,38976,12516,35511,46545,37572
14/10/2023,Massachusetts,21045,562,21,32868,32858,49098,18823,15769,28323,45017,5,17085,39597,35396,6019,8038,18371,2164,30813,49055
14/03/2023,Illinois,2291,494,77,25984,22061,42946,46217,34493,41195,34869,63,22895,7167,5534,17192,26531,27548,36543,43906,30045
16/06/2023,Maryland,58741,735,75,30632,4473,13101,41706,42663,25632,18668,73,31505,10585,3589,39687,9693,12599,44757,843,15372
20/04/2023,Mississippi,36300,31,96,17894,24033,41352,14598,32046,5204,8822,70,9496,28902,15617,34174,20174,49575,27330,42866,30588
21/10/2023,Vermont,35897,464,39,16316,30417,16186,25123,42102,31303,40157,18,33248,10318,6227,17424,49844,48645,26392,19745,44268
5/8/2023,Wyoming,26754,86,70,19689,45330,40414,21104,29686,39897,28155,71,49643,47710,48171,25935,28717,6890,14607,8021,511
16/05/2023,Montana,13230,657,57,1189,22237,1387,10896,36997,23087,24458,6,21385,12269,42999,12335,11878,13735,23525,28019,22231
24/01/2023,Iowa,51863,141,22,17715,32660,6326,4679,22088,29174,5845,99,1676,30830,25056,41969,16032,38935,4171,33514,20022
1/2/2023,Ohio,31306,514,91,12874,7216,19160,36461,20596,20185,25123,38,42664,38827,30540,16578,21065,33751,6695,11384,30825
17/02/2023,Kentucky,63997,980,62,14528,32277,38848,40503,19553,49652,28085,32,43728,31559,11293,43177,26675,42550,550,11726,35896
2/2/2023,Louisiana,13180,37,73,39646,33982,15667,46535,20400,29324,18997,74,670,32290,47345,1932,9847,31543,27505,47643,49093
20/10/2023,Montana,6802,707,9,38833,1764,32981,17155,33177,13832,9148,24,2777,32975,505,7923,43169,26363,48096,34768,33258
